41,1,1,Thuraakunu,ތުރާކުނު,تراكن,1,7.103806,72.8989759999999,1
41,2,1,Uligamu,އުލިގަމު,القم,1,7.08402823080374,72.9262161254882,1
41,3,1,Berimmadhoo,ބެރިންމަދޫ,برنـمدو,1,0
41,4,1,Hathifushi,ހަތިފުށި,هتفشي,1,7.018666592,72.824830034,0
41,5,1,Mulhadhoo,މުޅަދޫ,ملدو,1,7.01366792756664,72.9972839355468,1
41,6,1,Hoarafushi,ހޯރަފުށި,هرافشي,1,6.981879,72.896653,1
41,7,1,Ihavandhoo,އިހަވަންދޫ,اهوندو,1,6.953145,72.926103,1
41,8,1,Kelaa,ކެލާ,كيلا,0,6.95731238614372,73.2161521911621,1
41,9,1,Vashafaru,ވަށަފަރު,وشفرو,0,6.89788255034566,73.1627440452575,1
41,10,1,Dhidhoo,ދިއްދޫ,ددو,0,6.88712,73.114046,1
41,11,1,Fillaidhoo,ފިއްލަދޫ,فلدو,0,6.87709099421444,73.2304000854492,1
41,12,1,Maarandhoo,މާރަންދޫ,مارندو,1,6.8524,72.984406,1
41,13,1,Thakandhoo,ތަކަންދޫ,تكندو,1,6.844469,72.995584,1
41,14,1,Utheemu,އުތީމު,اتيم,0,6.835027,73.1122699999999,1
41,15,1,Muraidhoo,މުރައިދޫ,مريدو,0,6.837774,73.167143,1
41,16,1,Baarah,ބާރަށް,باره,0,6.81620229951772,73.2108306884765,1
42,17,2,Faridhoo,ފަރިދޫ,فردو,0,6.784964,73.0539049999999,0
42,18,2,Hon'daidhoo,ހޮނޑައިދޫ,هديدو,0,6.7703,73.087,0
42,19,2,Hanimadhoo,ހަނިމާދޫ,هنمادو,0,6.76621580263464,73.1764125823974,1
42,20,2,Finey,ފިނޭ,فني,0,6.746074,73.0535139999999,1
42,21,2,Naavaidhoo,ނައިވާދޫ,ناويدو,1,6.74795431082846,72.9352283477783,1
42,22,2,Nellaidhoo,ނެއްލައިދޫ,نليدو,1,6.71494,72.9468279999999,1
42,23,2,Hirimaradhoo,ހިރިމަރަދޫ,هرمردو,0,6.724919,73.024126,1
